stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\YU\Downloads\End-of-term\BranchPicio\FUNCTIONS\FIGHT\bin\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.14290] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14293] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14296] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14299] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14303] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14306] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14309] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14311] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14314] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14317] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14320] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14323] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14327] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14330] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14333] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14336] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14339] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14341] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14344] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14347] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14350] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14353] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14355] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14358] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14361] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14364] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14367] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14370] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14373] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14376] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14380] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14383] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14386] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14389] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14392] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14395] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14398] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14401] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14404] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14407] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14410] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14413] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14416] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14419] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14422] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14425] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14428] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14431] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14434] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14437] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14440] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14443] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14446] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14449] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14452] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14456] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14459] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14462] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14465] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14469] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14473] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14476] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14480] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14485] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14489] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14491] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14494] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14498] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14501] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14503] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14506] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14509] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14513] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.14516] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.14622] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.14650] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.20871] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.22052] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.22060] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.22068] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.22075] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.22079] Returning d3d_display: 000001e798dcb060
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.22083] al_display=000001e798dcb060
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.22087] al_display->vt=000001e798cf4210
dtor     D               dtor.c:196  _al_register_destructor          [   0.22112] added dtor for queue 000001e798cf09b0, func 00007fff7686cc4e
dtor     D               dtor.c:196  _al_register_destructor          [   0.22119] added dtor for timer 000001e799ed5e40, func 00007fff76880dc2
